time_s,err_mag,err_x,err_y,err_z
9.216,1.313723,0.617222,0.452058,1.067965
9.324,1.314684,0.617278,0.447744,1.070929
9.417,1.315557,0.617387,0.444886,1.073127
9.517,1.316019,0.617496,0.441469,1.075039
9.616,1.31648,0.617679,0.438614,1.076666
9.716,1.316538,0.617656,0.435917,1.077845
9.816,1.316191,0.617837,0.433688,1.078217
9.916,1.315084,0.617371,0.431458,1.078027
10.021,1.313598,0.616856,0.429318,1.077364
10.124,1.31148,0.615453,0.42763,1.076257
10.218,1.304049,0.611741,0.424198,1.070688
10.326,1.282484,0.601727,0.415302,1.053667
10.426,1.25224,0.585577,0.400456,1.03191
10.525,1.211274,0.561264,0.379268,1.004153
10.625,1.162338,0.529208,0.352291,0.973068
10.725,1.104728,0.488603,0.320022,0.937698
10.818,1.055181,0.450997,0.290966,0.908486
10.919,0.983096,0.391075,0.24734,0.867388
11.021,0.915103,0.32829,0.20467,0.829306
11.125,0.840522,0.250874,0.15462,0.787167
11.229,0.775657,0.174502,0.106497,0.748233
11.331,0.718085,0.094401,0.055854,0.709659
11.433,0.67193,0.012503,0.003331,0.671805
11.533,0.639718,-0.06865,-0.049621,0.634086
11.635,0.622754,-0.146842,-0.101796,0.596571
11.72,0.619844,-0.219582,-0.151002,0.559633
11.825,0.626938,-0.284686,-0.195991,0.523061
11.926,0.638112,-0.340149,-0.234635,0.486243
12.027,0.64889,-0.385075,-0.266296,0.44929
12.126,0.655788,-0.419167,-0.290191,0.412487
12.236,0.656439,-0.445147,-0.306956,0.372203
12.326,0.650482,-0.458257,-0.3132,0.339167
12.423,0.636438,-0.464968,-0.311768,0.302752
12.532,0.61211,-0.464164,-0.30004,0.263073
12.624,0.585458,-0.457871,-0.282437,0.230964
12.728,0.549339,-0.445523,-0.254427,0.196339
12.825,0.507251,-0.427735,-0.218139,0.163592
12.925,0.46006,-0.40463,-0.173911,0.132982
13.035,1.546136,0.627419,0.882916,1.103332
13.134,1.578788,0.66294,0.940978,1.080575
13.236,1.619125,0.704699,1.002165,1.058599
13.334,1.656354,0.745501,1.058389,1.033222
13.425,1.684269,0.778002,1.101108,1.009473
13.534,1.703357,0.805835,1.136904,0.979543
13.631,1.703882,0.81735,1.153838,0.95069
13.736,1.689626,0.816209,1.157692,0.921079
13.915,1.638601,0.789157,1.140001,0.873294
13.932,1.620518,0.777487,1.131432,0.861077
14.028,1.572882,0.744043,1.107119,0.833452
14.142,1.509489,0.695487,1.072575,0.802769
14.236,1.42845,0.628569,1.026816,0.768778
14.337,1.346183,0.55613,0.979044,0.737836
14.433,1.257077,0.474117,0.92506,0.706908
14.535,1.162752,0.385506,0.8636,0.676441
14.635,1.065963,0.296089,0.79351,0.647264
14.735,0.968492,0.210248,0.714401,0.619196
14.83,0.871434,0.132461,0.626272,0.591299
14.931,0.777526,0.064749,0.530577,0.564662
15.035,0.686767,0.005068,0.427202,0.537701
15.142,0.595398,-0.052117,0.305762,0.508225
15.235,0.531394,-0.094404,0.200873,0.482823
15.335,0.481719,-0.13649,0.080981,0.454825
15.441,3.009787,-2.17271,-2.038682,0.42653
15.537,3.106119,-2.202645,-2.15362,0.397804
15.634,3.19333,-2.225156,-2.260486,0.369105
15.736,3.268602,-2.240537,-2.355373,0.340541
15.835,3.329125,-2.249328,-2.434422,0.311745
15.935,3.374216,-2.252135,-2.496736,0.282008
16.036,3.405079,-2.251151,-2.542328,0.251898
16.141,3.419717,-2.245313,-2.569913,0.220423
16.234,3.419439,-2.234732,-2.581216,0.189363
16.334,3.407801,-2.221363,-2.579309,0.160677
16.434,3.384461,-2.204401,-2.564475,0.136601
16.545,3.350267,-2.184365,-2.537568,0.116557
16.636,3.305547,-2.161131,-2.499229,0.100061
16.742,3.244562,-2.131519,-2.444638,0.086917
16.837,3.185988,-2.104259,-2.390894,0.079021
16.935,3.112081,-2.070608,-2.322128,0.073157
17.045,3.020637,-2.029562,-2.236139,0.069353
17.136,2.938164,-1.992721,-2.158066,0.067969
17.236,2.838835,-1.948099,-2.063809,0.067722
17.343,2.720884,-1.89475,-1.951532,0.068209
17.435,2.618118,-1.847712,-1.85357,0.069136
17.552,2.48553,-1.78641,-1.726729,0.070745
17.644,2.359116,-1.727451,-1.605034,0.072174
17.74,2.242884,-1.6731,-1.492009,0.071941
17.844,2.09299,-1.600352,-1.346849,0.074013
17.943,1.954126,-1.531597,-1.21126,0.075268
18.04,1.814278,-1.460994,-1.072924,0.077033
18.147,1.675327,-1.389085,-0.933247,0.07883
18.241,1.538639,-1.316103,-0.793001,0.080205
18.347,1.405549,-1.242088,-0.652848,0.081083
18.46,1.277586,-1.167297,-0.512831,0.081539
18.543,1.156435,-1.091732,-0.372637,0.081263
18.644,1.044025,-1.014649,-0.232527,0.080035
18.744,0.944076,-0.936285,-0.092678,0.077854
18.844,0.869089,-0.865245,0.031664,0.075262
18.944,0.800664,-0.777188,0.178698,0.071471
19.044,0.761477,-0.69495,0.303961,0.067073
19.145,0.740709,-0.609153,0.416709,0.062734
19.247,0.733685,-0.519947,0.514412,0.057706
19.341,0.73481,-0.426961,0.595717,0.052644
19.443,0.741035,-0.331224,0.661136,0.048204
19.549,0.749585,-0.233238,0.711005,0.044149
19.645,0.759719,-0.133064,0.746837,0.041256
19.743,0.767123,-0.062117,0.763584,0.039474
19.851,0.782558,0.08021,0.777578,0.036544
19.941,0.791273,0.160045,0.774089,0.035857
20.054,0.802659,0.274115,0.753566,0.035499
20.154,0.80873,0.360893,0.72283,0.036285
20.256,0.811219,0.422925,0.691252,0.037152
20.351,0.808282,0.501772,0.632428,0.039747
20.454,0.798888,0.553179,0.574832,0.042245
20.55,0.784331,0.588136,0.516995,0.044585
20.654,0.761141,0.614541,0.446638,0.046796
20.753,0.731215,0.628557,0.370423,0.048765
20.854,0.695726,0.630772,0.289169,0.050423
20.956,0.652258,0.620556,0.194081,0.051798
21.044,0.615359,0.602667,0.11255,0.052834
21.145,0.575773,0.572916,0.018747,0.054135
21.245,0.541169,0.532916,-0.0758,0.05585
21.37,0.509629,0.47087,-0.185977,0.058444
21.476,0.494985,0.415223,-0.262414,0.061143
21.554,1.767619,1.345459,0.662762,-0.935394
21.654,1.685047,1.268994,0.600854,-0.931671
21.754,1.60197,1.186935,0.550637,-0.92428
21.846,1.523334,1.110327,0.511216,-0.909053
21.954,1.431038,1.022417,0.470199,-0.883993
22.054,1.323723,0.923823,0.421911,-0.84899
22.147,1.232146,0.842161,0.377228,-0.816485
22.255,1.11747,0.741161,0.316595,-0.774072
22.354,1.012368,0.647682,0.256819,-0.734467
22.45,0.918771,0.561641,0.200187,-0.699017
22.552,0.808301,0.453685,0.127732,-0.656662
22.654,0.715203,0.352038,0.059416,-0.619721
22.751,0.634303,0.247099,-0.010076,-0.584107
22.861,0.572833,0.13841,-0.078861,-0.550237
22.954,0.538493,0.027743,-0.144419,-0.518023
23.05,0.535003,-0.082044,-0.204299,-0.487605
23.155,0.557931,-0.187161,-0.255766,-0.459175
23.254,0.595516,-0.282593,-0.29657,-0.432235
23.355,0.636045,-0.364855,-0.324902,-0.407276
23.455,0.670834,-0.431749,-0.340081,-0.38465
