time_s,err_mag,err_x,err_y,err_z
6.815,2.446236,-0.139819,-2.177414,1.106069
6.917,2.447961,-0.142174,-2.179297,1.105877
7.021,2.449296,-0.144885,-2.18073,1.105656
7.126,2.450337,-0.147187,-2.182124,1.104907
7.226,2.451272,-0.149807,-2.183432,1.104046
7.327,2.452168,-0.152639,-2.184601,1.103335
7.429,2.4527,-0.15508,-2.185446,1.102502
7.535,2.453302,-0.157693,-2.186129,1.102119
7.638,2.453625,-0.160059,-2.186131,1.102491
7.734,2.453603,-0.161854,-2.186037,1.102366
7.809,2.453474,-0.16362,-2.185686,1.102515
7.909,2.453475,-0.165483,-2.185123,1.103356
8.009,2.453961,-0.167344,-2.184928,1.104541
8.109,2.454671,-0.169151,-2.184884,1.105928
8.21,2.455808,-0.171383,-2.185087,1.107707
8.309,2.456629,-0.173547,-2.185255,1.108859
8.409,2.457193,-0.175506,-2.18521,1.109889
8.51,2.457032,-0.177213,-2.184959,1.109754
8.61,2.456708,-0.178596,-2.18471,1.109305
8.717,2.455277,-0.180043,-2.184031,1.10724
8.813,2.451971,-0.181594,-2.182619,1.102435
8.913,2.447186,-0.183828,-2.179945,1.096706
9.014,2.440624,-0.186934,-2.175694,1.08998
9.113,2.432991,-0.19115,-2.169962,1.083592
9.214,2.424421,-0.195914,-2.163153,1.077129
9.314,2.415156,-0.201475,-2.155651,1.070306
9.414,2.405295,-0.207606,-2.147388,1.063518
9.514,2.394948,-0.21455,-2.138379,1.056919
9.614,2.383739,-0.222097,-2.128484,1.049971
9.714,2.371737,-0.230239,-2.117711,1.042797
9.814,2.359473,-0.239034,-2.106629,1.03542
9.914,2.34637,-0.248016,-2.094576,1.027954
10.014,2.332765,-0.257433,-2.081887,1.020425
10.114,2.319142,-0.266461,-2.069113,1.013009
10.221,2.312159,-0.271626,-2.062477,1.009202
10.314,2.291575,-0.285273,-2.042988,0.998064
10.414,2.277861,-0.293835,-2.029829,0.991013
10.514,2.264103,-0.301456,-2.016543,0.984299
10.615,2.250303,-0.307602,-2.003302,0.977767
10.718,2.236,-0.31184,-1.989855,0.971046
10.818,2.222034,-0.314189,-1.977045,0.964372
10.919,2.212908,-0.31459,-1.96875,0.960218
11.019,2.198993,-0.313246,-1.956578,0.953545
11.124,2.185057,-0.309455,-1.944569,0.947293
11.224,2.172507,-0.304368,-1.934392,0.94089
11.322,2.160578,-0.297343,-1.925106,0.934693
11.425,2.14906,-0.288889,-1.916429,0.928602
11.528,2.137043,-0.279532,-1.907552,0.921989
11.629,2.125465,-0.26994,-1.898896,0.91593
11.733,2.11335,-0.259133,-1.889965,0.909467
11.833,2.101901,-0.248359,-1.881386,0.903709
11.936,2.089672,-0.236246,-1.872463,0.897105
12.039,2.077928,-0.223582,-1.863766,0.891164
12.148,2.066615,-0.210625,-1.855334,0.88559
12.247,2.054611,-0.196735,-1.846237,0.879847
12.346,2.043456,-0.183591,-1.837753,0.874455
12.419,2.032563,-0.171033,-1.829357,0.869202
12.519,2.02167,-0.159445,-1.82084,0.863868
12.62,2.010934,-0.149025,-1.812382,0.85844
12.719,1.999887,-0.139922,-1.803448,0.852962
12.82,1.988337,-0.13185,-1.793745,0.847688
12.92,1.976656,-0.12517,-1.783874,0.842198
13.023,1.963932,-0.119006,-1.77298,0.836305
13.123,1.951774,-0.114308,-1.76235,0.83095
13.223,1.93944,-0.110594,-1.751618,0.825246
13.323,1.926923,-0.107942,-1.740487,0.819809
13.423,1.914212,-0.106153,-1.729153,0.814229
13.52,1.901739,-0.105324,-1.717867,0.808981
13.623,1.888266,-0.10471,-1.705663,0.803305
13.723,1.874892,-0.104887,-1.693322,0.798047
13.823,1.861578,-0.105089,-1.681249,0.792358
13.923,1.848015,-0.10518,-1.668844,0.786799
14.023,1.834293,-0.10552,-1.656482,0.780744
14.123,1.820381,-0.105754,-1.643914,0.774694
14.223,1.806299,-0.105941,-1.631071,0.768832
14.323,1.792085,-0.105931,-1.618088,0.762982
14.426,1.777515,-0.106293,-1.604624,0.757261
