time_s,err_mag,err_x,err_y,err_z
16.181,3.899055,2.675287,2.639838,1.037655
16.289,3.897178,2.670759,2.640617,1.04028
16.387,3.895898,2.667615,2.641211,1.042042
16.49,3.894164,2.663672,2.641829,1.044079
16.593,3.893102,2.660614,2.642349,1.046597
16.696,3.891869,2.657193,2.643359,1.048154
16.795,3.890844,2.654129,2.644249,1.049862
16.893,3.889686,2.650947,2.64524,1.051114
16.988,3.888625,2.648138,2.645854,1.052722
17.093,3.887567,2.645513,2.646931,1.052706
17.192,3.886185,2.642654,2.647559,1.053207
17.291,3.885006,2.640689,2.647595,1.053696
17.392,3.883711,2.638418,2.64801,1.053571
17.493,3.882654,2.636666,2.64805,1.053954
17.594,3.880804,2.633964,2.648098,1.053779
17.691,3.87405,2.627818,2.646819,1.047467
17.79,3.859593,2.616704,2.642368,1.03306
17.893,3.835348,2.598412,2.63327,1.011947
17.991,3.800704,2.572539,2.618149,0.986252
18.087,3.761408,2.543136,2.59997,0.959587
18.192,3.704021,2.50001,2.571855,0.924816
18.292,3.642988,2.453715,2.541481,0.889673
18.393,3.574635,2.402373,2.505203,0.854738
18.496,3.498642,2.345128,2.46436,0.817191
18.592,3.415866,2.282681,2.418504,0.779969
18.689,3.326442,2.215389,2.367623,0.742719
18.789,3.230531,2.143311,2.312057,0.704941
18.892,3.128582,2.066941,2.251664,0.667676
19.0,3.010469,1.978959,2.180421,0.626424
19.09,2.910204,1.904152,2.119512,0.59259
19.192,2.795588,1.818966,2.04897,0.555336
19.29,2.678416,1.732385,1.975745,0.518834
19.391,2.559421,1.64498,1.900397,0.482875
19.492,2.437816,1.556045,1.822546,0.447212
19.591,2.314041,1.465898,1.742547,0.411653
19.692,2.18812,1.374361,1.660491,0.376524
19.803,2.046614,1.271635,1.567532,0.338254
19.903,1.915576,1.176818,1.480547,0.304161
19.996,1.795349,1.089621,1.400456,0.273362
20.103,1.644894,0.981147,1.298764,0.237145
20.203,1.505181,0.880135,1.203778,0.204576
20.302,1.363368,0.777856,1.106171,0.173492
20.401,1.219734,0.674323,1.005894,0.145657
20.502,1.074772,0.569268,0.903445,0.121884
20.605,0.928985,0.462894,0.798843,0.102922
20.698,0.783117,0.354987,0.692441,0.088214
20.799,0.638751,0.24596,0.584279,0.078256
20.901,0.499079,0.135811,0.474757,0.072398
20.997,2.013453,1.025053,1.363682,1.069407
21.102,1.883757,0.915935,1.252025,1.068661
21.199,1.757046,0.809083,1.139949,1.064478
21.307,1.63178,0.703975,1.027731,1.053989
21.401,1.508219,0.59917,0.915657,1.037927
21.497,1.386229,0.492153,0.803769,1.016549
21.602,1.268152,0.381532,0.692741,0.99134
21.713,1.145929,0.255106,0.571822,0.959736
21.818,1.046821,0.137001,0.463862,0.928384
21.909,0.965946,0.020369,0.359179,0.896453
22.002,0.9106,-0.083822,0.266322,0.86674
22.1,0.870973,-0.194106,0.164382,0.833004
22.203,0.854073,-0.295372,0.063448,0.798856
22.308,0.85612,-0.392718,-0.046164,0.759331
22.4,0.870294,-0.459362,-0.131541,0.727389
22.512,0.888477,-0.528916,-0.229274,0.676071
22.607,0.888477,-0.528916,-0.229274,0.676071
