time_s,err_mag,err_x,err_y,err_z
1.658,2.992515,1.99404,1.99404,1.001377
1.94,2.889382,1.945104,1.945116,0.884095
2.202,2.676461,1.808942,1.80903,0.786501
2.481,2.325151,1.567335,1.567488,0.701976
2.767,1.905576,1.273787,1.273646,0.6217
3.078,1.519643,1.001166,1.00081,0.552595
3.369,1.234229,0.8007,0.800446,0.491413
3.661,1.085543,0.702809,0.702976,0.436219
3.951,1.041234,0.683283,0.684025,0.386525
4.234,1.011492,0.672389,0.673796,0.342067
4.504,0.927638,0.619116,0.620737,0.303137
4.763,0.773916,0.512629,0.51387,0.268506
5.031,0.624815,0.408239,0.40879,0.237961
5.321,0.543446,0.354201,0.354095,0.21093
5.601,0.524496,0.346624,0.346466,0.186841
5.868,0.49551,0.330165,0.33025,0.165697
6.137,0.419283,0.277557,0.277806,0.146915
6.411,0.336932,0.219452,0.219693,0.130762
6.683,0.299306,0.195004,0.195169,0.116045
6.952,0.29614,0.1963,0.196394,0.102929
7.229,0.279391,0.186675,0.186732,0.091339
7.493,0.230353,0.152446,0.15249,0.081053
7.758,0.181208,0.117547,0.117588,0.072056
8.032,0.163511,0.106363,0.106394,0.064055
8.3,0.167458,0.111339,0.111358,0.056967
8.569,0.159212,0.106736,0.106746,0.050608
8.837,0.128387,0.085026,0.085031,0.044985
9.11,0.099212,0.064196,0.064197,0.040008
9.379,0.091805,0.059844,0.059842,0.035579
9.646,0.097211,0.064992,0.064985,0.03167
9.918,0.09266,0.062415,0.062404,0.028212
10.183,0.073128,0.048567,0.048552,0.025132
10.46,0.056012,0.036337,0.036316,0.02232
10.728,0.053508,0.035136,0.035106,0.019902
11.001,0.058107,0.039125,0.039092,0.017815
11.269,0.055124,0.037332,0.037302,0.015924
11.537,0.043022,0.028717,0.02869,0.014252
11.809,0.033522,0.021814,0.021787,0.01316
12.083,0.032805,0.02168,0.021641,0.01174
12.354,0.035767,0.024185,0.024141,0.010564
12.623,0.033914,0.023028,0.022989,0.00956
12.892,0.027041,0.018146,0.018113,0.008595
13.175,0.021934,0.014446,0.014415,0.008038
13.453,0.021406,0.014212,0.01418,0.007427
13.728,0.022695,0.015277,0.015251,0.007004
13.999,0.021237,0.014349,0.014342,0.006276
14.266,0.017933,0.011937,0.011937,0.00605
14.542,0.0164,0.010772,0.010763,0.00609
14.809,0.016513,0.010891,0.010879,0.005974
15.091,0.016916,0.011258,0.011252,0.005726
15.358,0.015603,0.010318,0.010315,0.00553
15.621,0.013839,0.008853,0.009204,0.005331
15.903,0.013069,0.007873,0.009121,0.00506
16.178,0.01304,0.008533,0.008814,0.004418
16.447,0.011908,0.00863,0.007663,0.002932
16.72,0.010836,0.007237,0.007421,0.003158
16.991,0.010952,0.006433,0.008028,0.003757
17.269,0.010435,0.007355,0.006911,0.002651
17.541,0.009306,0.007651,0.004349,0.003025
17.81,0.007769,0.005032,0.004869,0.003365
18.075,0.0074,0.00254,0.00607,0.003385
18.341,0.008012,0.003844,0.005701,0.004112
18.611,0.0095,0.007331,0.004784,0.00369
