time_s,err_mag,err_x,err_y,err_z
3.092,2.990644,1.993924,1.993925,0.996234
3.357,2.875896,1.945526,1.94553,0.837031
3.612,2.663774,1.816284,1.816313,0.705556
3.867,2.317657,1.583817,1.58389,0.595274
4.127,1.856601,1.263961,1.263962,0.501766
4.392,1.372987,0.923783,0.92388,0.422096
4.692,0.948231,0.621528,0.622083,0.354764
4.993,0.637648,0.397483,0.398839,0.299216
5.307,0.470003,0.279225,0.281618,0.252245
5.612,0.439245,0.270278,0.273177,0.212744
5.903,0.474452,0.309451,0.312161,0.178606
6.198,0.495047,0.33251,0.334538,0.15031
6.49,0.43968,0.297122,0.298218,0.126899
6.787,0.313806,0.208254,0.208725,0.107416
7.058,0.197394,0.124053,0.124139,0.090359
7.325,0.148547,0.090114,0.09007,0.076375
7.598,0.162791,0.105631,0.105666,0.064635
7.862,0.188448,0.127257,0.127457,0.055434
8.137,0.172284,0.116871,0.117537,0.046989
8.403,0.115086,0.075958,0.07676,0.039788
8.669,0.062332,0.036854,0.037374,0.03362
8.938,0.047043,0.026356,0.02649,0.028577
9.216,0.063853,0.041832,0.041676,0.024298
9.481,0.084062,0.057709,0.057424,0.020944
9.739,0.077744,0.053638,0.053357,0.017888
9.999,0.047788,0.032125,0.031895,0.015308
10.258,0.022186,0.012671,0.012477,0.013266
10.518,0.017769,0.009724,0.009535,0.011414
10.77,0.03029,0.020352,0.020154,0.009853
11.029,0.042509,0.029549,0.029344,0.00853
11.292,0.038841,0.02706,0.026858,0.007416
11.549,0.022977,0.015681,0.015492,0.006482
11.806,0.010715,0.006536,0.00636,0.005626
12.072,0.010229,0.006413,0.006246,0.00495
12.329,0.018237,0.012592,0.012433,0.004407
12.588,0.024001,0.016755,0.016605,0.004427
12.854,0.020906,0.014582,0.014444,0.003977
13.121,0.013329,0.009127,0.008998,0.003661
13.375,0.008798,0.005668,0.005541,0.003817
13.632,0.009284,0.006141,0.006014,0.003507
13.905,0.012913,0.008847,0.00872,0.003527
14.17,0.014592,0.010011,0.009907,0.003814
14.426,0.012946,0.00875,0.008658,0.004012
14.679,0.01067,0.00709,0.006995,0.003829
14.942,0.010173,0.006649,0.006548,0.004052
15.199,0.011864,0.00757,0.007463,0.005269
15.467,0.01319,0.00855,0.008444,0.00544
15.728,0.013512,0.008275,0.008182,0.006868
15.982,0.012259,0.007246,0.00716,0.00682
16.25,0.011414,0.0066,0.006516,0.006652
16.51,0.012371,0.007027,0.006939,0.00745
16.769,0.012955,0.007809,0.007718,0.006877
17.033,0.012907,0.007664,0.007579,0.007101
17.308,0.01124,0.00639,0.006307,0.006762
17.615,0.009164,0.004942,0.004853,0.006001
17.919,0.008981,0.004813,0.004715,0.005938
18.231,0.010591,0.006165,0.006059,0.006119
18.516,0.011918,0.007221,0.007118,0.006264
18.783,0.011411,0.006817,0.006721,0.006211
19.049,0.010036,0.005616,0.005522,0.006219
19.321,0.00834,0.004731,0.004642,0.005061
19.584,0.008763,0.00499,0.004896,0.005284
19.845,0.010615,0.006486,0.006386,0.005461
20.102,0.012079,0.007863,0.007766,0.004873
20.359,0.011838,0.007658,0.007562,0.00493
20.619,0.010123,0.006094,0.005996,0.00542
20.877,0.008097,0.00474,0.004637,0.004647
21.135,0.007104,0.0042,0.004094,0.004009
21.392,0.006493,0.004066,0.00396,0.003154
21.66,0.00652,0.004368,0.004264,0.002291
21.917,0.007038,0.004941,0.00484,0.001301
22.173,0.007672,0.005471,0.005373,0.00025
22.43,0.008142,0.005788,0.005693,-0.000616
22.688,0.008355,0.00588,0.005788,-0.001315
22.943,0.0084,0.005827,0.005738,-0.00192
23.211,0.008388,0.005717,0.00563,-0.002444
23.504,0.008379,0.005605,0.00552,-0.002885
23.775,0.008383,0.005505,0.005422,-0.00325
24.034,0.008391,0.005416,0.005335,-0.003551
24.295,0.00839,0.005331,0.005251,-0.003796
24.558,0.008377,0.005245,0.005167,-0.003996
24.821,0.008352,0.005161,0.005084,-0.004157
25.079,0.00832,0.005081,0.005004,-0.004286
25.339,0.008283,0.005005,0.00493,-0.004388
25.6,0.008242,0.004935,0.00486,-0.004467
25.86,0.008198,0.004869,0.004796,-0.004527
26.117,0.008151,0.004808,0.004736,-0.004571
26.381,0.008101,0.00475,0.004678,-0.004602
