time_s,err_mag,err_x,err_y,err_z
0.479,3.008127,2.0,2.0,1.024123
0.484,3.018886,1.999955,1.999955,1.055479
0.489,3.01918,1.99929,1.99929,1.058831
0.493,3.008887,1.997424,1.997425,1.036337
0.5,2.99039,1.99391,1.99391,0.99553
0.505,2.965683,1.988386,1.988387,0.942292
0.511,2.937452,1.980675,1.980676,0.884577
0.514,2.908065,1.970708,1.970711,0.830331
0.519,2.877975,1.958321,1.958324,0.782742
0.522,2.845499,1.943107,1.943111,0.738597
0.525,2.809389,1.924677,1.924683,0.695614
0.53,2.769957,1.902927,1.902935,0.656027
0.534,2.726388,1.87755,1.877563,0.618673
0.537,2.678124,1.848305,1.848322,0.582945
0.541,2.625202,1.815091,1.815115,0.54999
0.546,2.566956,1.77766,1.777694,0.518646
0.55,2.503377,1.735999,1.736052,0.489212
0.553,2.434443,1.690136,1.690216,0.461655
0.557,2.36,1.640076,1.640192,0.43534
0.561,2.280172,1.585922,1.586082,0.410342
0.565,2.195166,1.527818,1.528028,0.386852
0.569,2.105208,1.46593,1.466199,0.364978
0.572,2.010398,1.400401,1.400741,0.34424
0.576,1.911011,1.331427,1.331849,0.324719
0.579,1.807407,1.259236,1.259758,0.306684
0.583,1.699751,1.18403,1.184633,0.289606
0.587,1.58833,1.10605,1.10673,0.27312
0.591,1.474013,1.025889,1.026646,0.257419
0.594,1.357944,0.944311,0.945157,0.242833
0.597,1.240803,0.861846,0.862798,0.228892
0.601,1.123359,0.779022,0.780093,0.215676
0.605,1.006365,0.696338,0.697542,0.203273
0.609,0.890467,0.614248,0.615599,0.191491
0.612,0.776344,0.533181,0.534692,0.180367
0.615,0.664666,0.453533,0.455219,0.169897
0.62,0.556121,0.375673,0.377549,0.15999
0.623,0.451534,0.299947,0.302027,0.150649
0.627,0.352038,0.226675,0.228972,0.141849
0.632,0.259613,0.156155,0.158685,0.133542
0.635,0.178963,0.088665,0.091443,0.125715
0.64,0.123937,0.024466,0.027506,0.118344
0.644,0.12166,-0.036201,-0.032885,0.111396
0.648,0.166358,-0.09311,-0.089504,0.104855
0.653,0.226441,-0.146049,-0.14214,0.098699
0.655,0.287948,-0.194823,-0.190595,0.092906
0.66,0.346358,-0.239245,-0.234685,0.087457
0.663,0.399882,-0.279143,-0.274237,0.082334
0.667,0.447619,-0.314354,-0.309089,0.077519
0.671,0.489024,-0.344725,-0.339087,0.072997
0.675,0.523709,-0.370114,-0.364089,0.068751
0.68,0.551378,-0.390383,-0.383958,0.064768
0.683,0.571782,-0.405406,-0.398568,0.061032
0.687,0.584707,-0.41506,-0.407795,0.057531
0.691,0.58996,-0.419232,-0.411526,0.054252
0.695,0.587367,-0.41781,-0.409651,0.051183
0.698,0.57677,-0.410695,-0.402069,0.048315
0.703,0.558088,-0.397825,-0.388719,0.045773
0.707,0.531251,-0.379134,-0.36958,0.043537
0.712,0.496549,-0.35479,-0.344918,0.041437
0.716,0.454667,-0.32527,-0.315229,0.039394
0.72,0.406723,-0.291381,-0.28129,0.037368
0.725,0.354021,-0.254071,-0.243979,0.0354
0.729,0.297547,-0.214027,-0.203988,0.033399
0.732,0.238272,-0.171901,-0.161969,0.031456
0.737,0.177175,-0.12831,-0.118539,0.029598
0.74,0.115393,-0.083828,-0.074268,0.027796
0.744,0.055512,-0.038987,-0.029689,0.02608
0.748,0.029102,0.005717,0.014704,0.024455
0.753,0.080144,0.049822,0.058449,0.022906
0.756,0.138974,0.092895,0.101116,0.021441
0.76,0.196858,0.134537,0.142304,0.020061
0.764,0.252491,0.174372,0.181643,0.018758
0.769,0.305189,0.212054,0.218783,0.017534
0.774,0.354424,0.247256,0.253402,0.016387
0.777,0.399738,0.279676,0.285197,0.015312
0.782,0.440718,0.309032,0.313889,0.014308
0.785,0.47698,0.33506,0.339214,0.013374
0.788,0.508174,0.357514,0.360926,0.012506
0.792,0.533969,0.376163,0.378798,0.011703
0.796,0.55406,0.390791,0.392613,0.010961
0.8,0.56816,0.401196,0.402172,0.010279
0.804,0.576001,0.407189,0.407285,0.009655
0.808,0.57733,0.408592,0.407775,0.009086
0.813,0.571911,0.405236,0.403475,0.008571
0.816,0.559643,0.397029,0.394321,0.008847
0.819,0.540256,0.38379,0.38013,0.009133
0.823,0.513663,0.365405,0.3609,0.008936
0.826,0.480255,0.342138,0.336913,0.008712
0.83,0.440706,0.314463,0.308644,0.008611
0.833,0.396011,0.283081,0.276802,0.008404
0.837,0.347363,0.248858,0.242211,0.008043
0.841,0.295718,0.212488,0.205525,0.007596
0.847,0.241939,0.174576,0.167353,0.007124
0.851,0.186842,0.135695,0.128269,0.006629
0.855,0.131203,0.096381,0.088811,0.006133
0.859,0.075788,0.057133,0.049474,0.005653
0.863,0.021929,0.018412,0.010722,0.005187
0.866,0.033563,-0.019347,-0.027012,0.00474
0.87,0.084476,-0.055743,-0.063327,0.00432
0.874,0.133272,-0.090399,-0.097847,0.003923
0.878,0.179139,-0.122964,-0.130223,0.003553
0.881,0.221574,-0.153112,-0.160128,0.003211
0.885,0.260132,-0.180539,-0.18726,0.002896
0.889,0.294408,-0.204958,-0.211333,0.002609
0.893,0.324023,-0.226104,-0.232083,0.002351
0.898,0.348626,-0.243728,-0.249263,0.002122
0.903,0.367887,-0.257597,-0.262641,0.00192
0.907,0.381497,-0.267494,-0.272,0.001746
0.913,0.389169,-0.273213,-0.277137,0.0016
0.918,0.390672,-0.27459,-0.277888,0.001635
0.923,0.385762,-0.271454,-0.274084,0.001811
0.927,0.374227,-0.263642,-0.265584,0.00198
0.93,0.356087,-0.251144,-0.252428,0.002114
0.934,0.331657,-0.234172,-0.234851,0.002241
0.937,0.301521,-0.213132,-0.21327,0.002349
0.941,0.26651,-0.188608,-0.188277,0.002512
0.945,0.227722,-0.161383,-0.160641,0.002744
0.949,0.186223,-0.132229,-0.131101,0.002676
0.953,0.14285,-0.101736,-0.100248,0.002475
0.959,0.098383,-0.070454,-0.068631,0.002313
0.963,0.053562,-0.038896,-0.036766,0.00207
0.967,0.009308,-0.007549,-0.005135,0.001808
0.971,0.034701,0.023138,0.025812,0.00158
0.975,0.076694,0.052747,0.055658,0.001341
0.978,0.116628,0.080888,0.084012,0.001112
0.984,0.15396,0.107194,0.11051,0.00091
0.987,0.188203,0.131325,0.134811,0.000718
0.99,0.218907,0.152962,0.156597,0.000544
0.994,0.24565,0.17181,0.175571,0.000393
0.997,0.26804,0.187588,0.191457,0.000261
1.004,0.285709,0.200039,0.203995,0.000149
1.012,0.298349,0.208943,0.212967,0.00021
1.017,0.30565,0.214081,0.218154,0.000406
1.021,0.307314,0.215242,0.219345,0.000586
1.024,0.303077,0.212245,0.21635,0.000738
1.028,0.29286,0.205045,0.2091,0.000899
1.032,0.276839,0.193767,0.197719,0.001058
1.035,0.255423,0.178698,0.182501,0.001184
1.039,0.229245,0.160282,0.163894,0.001272
1.044,0.19916,0.139119,0.142507,0.001557
1.048,0.166148,0.115901,0.119037,0.001608
1.051,0.131154,0.091294,0.094152,0.001432
1.055,0.09498,0.065863,0.068421,0.001321
1.06,0.058358,0.040124,0.04236,0.001153
1.064,0.021997,0.014565,0.016458,0.000929
1.069,0.013628,-0.010358,-0.008824,0.000749
1.073,0.047588,-0.034222,-0.033063,0.000565
1.077,0.079548,-0.056631,-0.055862,0.000377
1.08,0.108944,-0.077218,-0.076851,0.000218
1.084,0.135284,-0.095637,-0.095684,7.1e-05
1.089,0.158159,-0.111604,-0.112064,0.000636
